
"Report 1"

"Ano de Exercício";"Identificador ProjetoAtividade - Código";"Identificador ProjetoAtividade - Descrição";"ProjetoAtividade - Código";"ProjetoAtividade - Descrição"
"2019";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"1";"DIREÇÃO SUPERIOR"
"2019";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"166";"ASSISTÊNCIA MÉDICA HOSPITALAR NA CAPITAL"
"2019";"7";"OPERAÇÃO ESPECIAL";"4";"PRECATÓRIOS E SENTENÇAS JUDICIÁRIAS"
"2020";"1";"PROJETO DO ORÇAMENTO FISCAL";"11";"FOMENTO PARA O DESENVOLVIMENTO DO SETOR AGROPECUÁRIO"
"2020";"1";"PROJETO DO ORÇAMENTO FISCAL";"31";"FORMAÇÃO EMPREENDEDORA"
"2020";"1";"PROJETO DO ORÇAMENTO FISCAL";"61";"SAÚDE EM REDE"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"6";"FISCALIZAÇÃO DOS INSTRUMENTOS DE REPESSASES DE RECURSOS E DOAÇÕES NO ÂMBITO DO PROGRAMA DE  APOIO AO DESENVOLVIMENTO MUNICIPAL"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"7";"EXECUÇÃO DO PROGRAMA DE APOIO AO DESENVOLVIMENTO MUNICIPAL - PADEM"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"9";"DIREÇÃO ADMINISTRATIVA"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"19";"ENSINO MÉDIO DOS COLÉGIOS TIRADENTES DA POLÍCIA MILITAR"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"20";"ENSINO FUNDAMENTAL DOS COLÉGIOS TIRADENTES DA POLÍCIA MILITAR"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"21";"ASSISTÊNCIA E PROMOÇÃO SOCIAL DA POLÍCIA MILITAR"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"23";"ASSISTÊNCIA MÉDICA E PSICOLÓGICA DA POLÍCIA MILITAR"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"32";"EDUCAÇÃO PROFISSIONAL DE SEGURANÇA PÚBLICA"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"49";"ENCARGOS DA ADMINISTRAÇÃO FINANCEIRA CENTRAL"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"52";"SUSTENTAÇÃO DO DATA CENTER"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"53";"REMUNERAÇÃO DE MAGISTRADOS DA ATIVA E ENCARGOS SOCIAIS"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"54";"REMUNERAÇÃO DE SERVIDORES DA ATIVA E ENCARGOS SOCIAIS"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"64";"COORDENAÇÃO INSTITUCIONAL"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"74";"APOIO AO SISTEMA ESTADUAL DE EDUCAÇÃO"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"77";"REMUNERAÇÃO DE MAGISTRADOS DA ATIVA E ENCARGOS SOCIAIS"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"80";"DESJUDICIALIZA SUS"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"157";"AUXÍLIOS ALIMENTAÇÃO, CRECHE, MORADIA, SAÚDE E OUTROS AUXÍLIOS"
"2020";"2";"ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP";"500";"ASSESSORAMENTO E GERENCIAMENTO DE POLÍTICAS PÚBLICAS"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"9";"FOMENTO A PROJETOS DE PESQUISA DA DEMANDA UNIVERSAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"23";"CORREGEDORIA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"25";"GESTÃO DAS UNIDADES POLICIAIS"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"35";"DESENVOLVIMENTO DE PESQUISA AGROPECUÁRIA E AGROINDUSTRIAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"48";"POLICIAMENTO OSTENSIVO GERAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"75";"REDE DE ATENÇÃO À SAÚDE ODONTOLÓGICA CONTRATADA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"88";"FOMENTO AOS EMPREENDIMENTOS DA ECONOMIA POPULAR SOLIDÁRIA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"97";"RELACIONAMENTO COM O CIDADÃO - MANUTENÇÃO DOS CANAIS DE ATENDIMENTO ELETRÔNICO"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"99";"RELACIONAMENTO COM O CIDADÃO - MANUTENÇÃO DOS CANAIS DE ATENDIMENTO PRESENCIAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"107";"ADMINISTRAÇÃO DOS PALÁCIOS"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"129";"CAPACITAÇÃO, APOIO TÉCNICO E GESTÃO DO SUAS"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"130";"PROTEÇÃO SOCIAL ESPECIAL DE MÉDIA COMPLEXIDADE"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"131";"PROTEÇÃO SOCIAL ESPECIAL DE ALTA COMPLEXIDADE"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"132";"PISO MINEIRO DE ASSISTÊNCIA SOCIAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"140";"COORDENAÇÃO DO PROCESSO DE CAPTAÇÃO DE RECURSOS E MONITORAMENTO DE CONVÊNIOS DE ENTRADA E INSTRUMENTOS CONGÊNERES"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"144";"GERENCIAMENTO, DESENVOLVIMENTO E APERFEIÇOAMENTO DE MODELOS DE PARCERIAS ENTRE O PODER PÚBLICO, OSCIPS E ORGANIZAÇÕES SOCIAIS"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"170";"GESTÃO DAS ATIVIDADES DE LOGÍSTICA CORPORATIVA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"192";"MODERNIZAÇÃO EM GESTÃO LOGÍSTICA E PATRIMONIAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"199";"CONTROLE E OPERAÇÕES FINANCEIRAS DOS RECURSOS ESTADUAIS"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"210";"ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL PARA A AGRICULTURA FAMILIAR"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"227";"CONSTRUÇÃO E ADEQUAÇÃO DE RODOVIAS"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"239";"ELABORAÇÃO LEGISLATIVA E ACOMPANHAMENTO DAS POLÍTICAS PÚBLICAS"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"278";"GESTÃO DA TRIBUTAÇÃO, ARRECADAÇÃO, FISCALIZAÇÃO, CRÉDITO E COBRANÇA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"280";"GESTÃO DE UNIDADES DE CONSERVAÇÃO"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"294";"PRODUÇÃO E TRANSMISSÃO DE PROGRAMAÇÃO ARTÍSTICA, CULTURAL E JORNALÍSTICA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"297";"DESENVOLVIMENTO DO ENSINO FUNDAMENTAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"302";"MÃOS À OBRA - ENSINO FUNADAMENTAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"303";"ATENDIMENTO AOS MUNICÍPIOS MINEIROS"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"313";"ENSINO FUNDAMENTAL INTEGRAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"315";"ALIMENTAÇÃO ESCOLAR - TEMPO INTEGRAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"355";"PROCESSAMENTO JUDICIÁRIO MILITAR DE 1ª E 2ª INSTÂNCIAS E AÇÕES DE COMUNICAÇÃO INSTITUCIONAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"385";"SAÚDE DO SERVIDOR"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"422";"ATENDIMENTO À SAÚDE DO ADOLESCENTE EM CUMPRIMENTO DE MEDIDA SOCIOEDUCATIVA DE PRIVAÇÃO DE LIBERDADE"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"451";"APOIO E FORTALECIMENTO DA REDE DE CUIDADO À PESSOA COM DEFICIÊNCIA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"452";"REGULAÇÃO DO ACESSO"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"455";"PROMOÇÃO E FORTALECIMENTO DA PARTICIPAÇÃO DO CONTROLE SOCIAL NA ÁREA DA SAÚDE"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"456";"APOIO E FORTALECIMENTO DA REDE DE ATENÇÃO PSICOSSOCIAL"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"457";"IMPLANTAÇÃO  DA POLÍTICA DE ATENÇÃO HOSPITALAR - VALOR EM SAÚDE"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"460";"ESTRUTURAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE (ORGANIZAÇÃO DA ATENÇÃO PRIMÁRIA À SAÚDE)"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"461";"IMPLANTAÇÃO E MANUTENÇÃO DA REDE DE URGÊNCIA E EMERGÊNCIA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"467";"ESTRUTURAÇÃO DA ASSISTÊNCIA FARMACÊUTICA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"471";"GESTÃO DA PREVENÇÃO, MITIGAÇÃO E PREPARAÇÃO DE DESASTRES"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"472";"GESTÃO DA RESPOSTA A DESASTRES"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"480";"GESTÃO DA INFRAESTRUTURA DA CIDADE ADMINISTRATIVA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"481";"GESTÃO DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO (TIC) DA CIDADE ADMINISTRATIVA"
"2020";"4";"ATIVIDADE FIM DO ORÇAMENTO FISCAL";"484";" RECRUTAMENTO, TREINAMENTO E FORMAÇÃO DE BOMBEIROS"
"2020";"7";"OPERAÇÃO ESPECIAL";"4";"PRECATÓRIOS E SENTENÇAS JUDICIÁRIAS"
"2020";"7";"OPERAÇÃO ESPECIAL";"6";"PROVENTOS DE INATIVOS CIVIS E PENSIONISTAS"
"2020";"7";"OPERAÇÃO ESPECIAL";"7";"PROVENTOS DE INATIVOS MILITARES"
"2020";"7";"OPERAÇÃO ESPECIAL";"8";"BENEFÍCIO PREVIDENCIÁRIO DE PENSÃO"
"2020";"7";"OPERAÇÃO ESPECIAL";"21";"APORTE PARA CUSTEIO DA IMPLANTAÇÃO DA PREVCOM-MG"
"2020";"7";"OPERAÇÃO ESPECIAL";"37";"BENEFÍCIOS PREVIDENCIÁRIOS - SEF"
"2020";"7";"OPERAÇÃO ESPECIAL";"64";"BENEFÍCIOS PREVIDENCIÁRIOS - PMMG"
"2020";"7";"OPERAÇÃO ESPECIAL";"663";"CAPTAÇÃO DE RECURSOS PARA FORMAÇÃO DO PROGRAMA DE FORMAÇÃO DO PATRIMÔNIO DO SERVIDOR PÚBLICO - PASEP"
"2020";"7";"OPERAÇÃO ESPECIAL";"844";"TRANSFERÊNCIAS CONSTITUCIONAIS A MUNICÍPIOS"
