CentroCusto - Código;AnoExercício CentroCusto;Situação CentroCusto;CentroCusto - Descrição;CentroCusto - Descrição Complementar;Órgão CentroCusto - Código;Órgão CentroCusto - Nome;Órgão CentroCusto - Sigla
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
1;2021;ATIVO;1 DEPTO - BH                                                          ;1 DEPTO - BELO HORIZONTE      ;10510;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS;PCMG
1;2021;ATIVO;AF/1º NIVEL/BH-3                                                      ;                              ;10190;SECRETARIA DE ESTADO DE FAZENDA;SEF
1;2021;ATIVO;APOIO ADMINISTRATIVO                                                  ;APOIO ADMINISTRATIVO          ;20430;AGÊNCIA DE DESENVOLVIMENTO DA REGIÃO METROPOLITANA DE BELO HORIZONTE;ARMBH
1;2021;ATIVO;ASSESSORAMENTO E GERENCIAMENTO                                        ;ASSESSORAMENTO E GERENCIAMENTO;10630;SECRETARIA-GERAL;SEC. GERAL
1;2021;ATIVO;ASS. GERENC. POLITICAS PUBLICAS                                       ;ASS. GERENC POLITICAS PUBLICAS;10540;ESCOLA DE SAÚDE PÚBLICA;ESPMG
1;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;10090;MINISTÉRIO PÚBLICO DO ESTADO DE MINAS GERAIS;MPMG
1;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;20120;INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MILITARES DO ESTADO DE MINAS GERAIS;IPSM
1;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;20150;FUNDAÇÃO HELENA ANTIPOFF;FHA
1;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;20180;FUNDAÇÃO CLÓVIS SALGADO;FCS
1;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;CORONAVIRUS/COVID 19          ;20420;INSTITUTO DE DESENVOLVIMENTO DO NORTE E NORDESTE DE MINAS GERAIS;IDENE
1;2021;ATIVO;CORONAVIRUS/COVID 19                                                  ;COVID 19                      ;20330;INSTITUTO DE METROLOGIA E QUALIDADE DO ESTADO DE MINAS GERAIS;IPEMMG
1;2021;ATIVO;CORONAVIRUS/COVID-19                                                  ;CORONAVIRUS/COVID-19          ;20350;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;UEMG
1;2021;ATIVO;CORONAVÍRUS/COVID-19                                                  ;CORONAVÍRUS/COVID-19          ;20280;FUNDAÇÃO DE EDUCAÇÃO PARA O TRABALHO DE MINAS GERAIS;UTRAMIG
1;2021;ATIVO;CUSTEIO SEGOV                                                         ;DESPESAS GERAIS SEGOV         ;10490;SECRETARIA DE ESTADO DE GOVERNO;SEGOV
1;2021;ATIVO;DEMAIS DESPESAS                                                       ;DEMAIS DESPESAS               ;20440;AGÊNCIA REGULADORA DE SERVIÇOS DE ABASTECIMENTO DE ÁGUA E DE ESGOTAMENTO SANITÁRIO DO ESTADO DE MINAS GERAIS;ARSAE-MG
1;2021;ATIVO;DESPESAS DIVERSAS CBMMG                                               ;DESPESAS DIVERSAS CBMMG       ;10400;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;CBMMG
1;2021;ATIVO;DESPESAS NAO ESPECIFICADAS                                            ;GERAL                         ;20200;INSTITUTO ESTADUAL DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO DE MINAS GERAIS;IEPHA
1;2021;ATIVO;DESPESAS REALIZADAS PELA SEINFRA COM AÇÕES DE PREVENÇÃO AO CORONAVÍRUS;GASTOS COM O COVID-19         ;10300;SECRETARIA DE ESTADO DE INFRAESTRUTURA E MOBILIDADE;SEINFRA
1;2021;ATIVO;DIREÇAO SUPERIOR                                                      ;DIREÇAO SUPERIOR              ;20250;JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS;JUCEMG
1;2021;ATIVO;GASTOS GERAIS DA UO                                                   ;GERAL                         ;10480;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;SEDESE
1;2021;ATIVO;GERAL                                                                 ;ACOMPANHAMENTO GERAL          ;10370;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL;SEMAD
1;2021;ATIVO;GERAL                                                                 ;DESPESAS FEAM                 ;20090;FUNDAÇÃO ESTADUAL DO MEIO AMBIENTE;FEAM
1;2021;ATIVO;GERAL                                                                 ;GERAL                         ;10080;ADVOCACIA GERAL DO ESTADO;AGE
1;2021;ATIVO;GERAL                                                                 ;GERAL                         ;10250;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG
1;2021;ATIVO;GERAL                                                                 ;GERAL                         ;10520;CONTROLADORIA-GERAL DO ESTADO;CGE
1;2021;ATIVO;GERAL                                                                 ;GERAL                         ;20100;INSTITUTO ESTADUAL DE FLORESTAS;IEF
1;2021;ATIVO;GERAL                                                                 ;GERAL                         ;20170;FUNDAÇÃO DE ARTE DE OURO PRETO;FAOP
1;2021;ATIVO;GERAL                                                                 ;GERAL                         ;20300;DEPARTAMENTO DE EDIFICAÇÕES E ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;DER-MG
1;2021;ATIVO;GMG                                                                   ;GMG                           ;10070;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;GMG
1;2021;ATIVO;IDENTIFICA EXECUÇÃO DE DESPESAS RELATIVAS A OCORRENCIA DE COVID-19    ;CORONAVIRUS/COVID 19          ;10270;SECRETARIA DE ESTADO DE CULTURA E TURISMO;SECULT
1;2021;ATIVO;IGAM                                                                  ;1;20240;INSTITUTO MINEIRO DE GESTÃO DAS ÁGUAS;IGAM
1;2021;ATIVO;OPERACIONALIZACAO DE JOGOS                                            ;OPERACIONALIZACAO DE JOGOS    ;20040;LOTERIA DO ESTADO DE MINAS GERAIS;LEMG
1;2021;ATIVO;ORÇAMENTO GERAL_OGE                                                   ;GERAL                         ;10100;OUVIDORIA-GERAL DO ESTADO DE MINAS GERAIS;OGE
1;2021;ATIVO;PARA ATENDER DESPESAS GERAIS DO TRIBUNAL DE CONTAS                    ;X                             ;10020;TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;TCEMG
1;2021;ATIVO;PLANEJAMNTO SETORIAL - APC                                            ;APC                           ;10450;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA;SEJUSP
1;2021;ATIVO;PRESIDENCIA                                                           ;1.0.0.1.01                    ;20260;FUNDAÇÃO EZEQUIEL DIAS;FUNED
1;2021;ATIVO;PRESIDENCIA  (C.CURADOR,GAB.,ASSESSORIAS,PQS)                         ;101001;20320;FUNDAÇÃO CENTRO DE HEMATOLOGIA E HEMOTERAPIA DE MINAS GERAIS;HEMOMINAS
1;2021;ATIVO;PRESIDENCIA - PRE                                                     ;01.11.001                     ;20060;FUNDAÇÃO JOÃO PINHEIRO;FJP
1;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARAGEM EM BRUMADINHO                           ;ROMPIMENTO/COLAPSO DE BARRAGEM;10220;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONÔMICO;SEDE
1;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;10230;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO;SEAPA
1;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;20270;FUNDAÇÃO HOSPITALAR DO ESTADO DE MINAS GERAIS;FHEMIG
1;2021;ATIVO;ROMPIMENTO/COLAPSO DE BARRAGEM EM BRUMADINHO                          ;ROMPIMENTO/COLAPSO DE BARRAGEM;20370;INSTITUTO MINEIRO DE AGROPECUÁRIA;IMA
