
"Relatório 1"

"IPU - Código";"IPU - Descrição";"IPU - Código-Descrição";"IPU - Instrumento Jurídico S/N";"IPU - Tipo Instrumento Jurídico"
"00";"RECURSOS DECORRENTES DA DESVINCULAÇÃO DE RECEITAS CONFORME A EC 93/2016";"00 - RECURSOS DECORRENTES DA DESVINCULAÇÃO DE RECEITAS CONFORME A EC 93/2016";"NÃO";" "
"01";"RECURSOS RECEBIDOS PARA LIVRE UTILIZAÇÃO";"01 - RECURSOS RECEBIDOS PARA LIVRE UTILIZAÇÃO";"NÃO";" "
"02";"RECURSOS RECEBIDOS DE OUTRA UNIDADE ORÇAMENTÁRIA DO ORÇAMENTO FISCAL PARA LIVRE UTILIZAÇÃO";"02 - RECURSOS RECEBIDOS DE OUTRA UNIDADE ORÇAMENTÁRIA DO ORÇAMENTO FISCAL PARA LIVRE UTILIZAÇÃO";"NÃO";" "
"03";"RECURSOS RECEBIDOS PARA CONTRAPARTIDA";"03 - RECURSOS RECEBIDOS PARA CONTRAPARTIDA";"SIM";" "
"03";"RECURSOS RECEBIDOS PARA CONTRAPARTIDA";"03 - RECURSOS RECEBIDOS PARA CONTRAPARTIDA";"SIM";"3"
"04";"RECURSOS RECEBIDOS PARA ATENDIMENTO DE DEMANDAS DE PARTICIPAÇÃO CIDADÃ";"04 - RECURSOS RECEBIDOS PARA ATENDIMENTO DE DEMANDAS DE PARTICIPAÇÃO CIDADÃ";"NÃO";" "
"05";"RECURSOS RECEBIDOS PARA BENEFÍCIOS PREVISTOS NO ART.39 DA LC 64/2002";"05 - RECURSOS RECEBIDOS PARA BENEFÍCIOS PREVISTOS NO ART.39 DA LC 64/2002";"NÃO";" "
"06";"RECURSOS RECEBIDOS PARA CONTRAPARTIDA DE OPERAÇÃO DE CRÉDITO";"06 - RECURSOS RECEBIDOS PARA CONTRAPARTIDA DE OPERAÇÃO DE CRÉDITO";"SIM";" "
"06";"RECURSOS RECEBIDOS PARA CONTRAPARTIDA DE OPERAÇÃO DE CRÉDITO";"06 - RECURSOS RECEBIDOS PARA CONTRAPARTIDA DE OPERAÇÃO DE CRÉDITO";"SIM";"1/2"
"07";"RECURSOS RECEBIDOS PARA AUXÍLIOS DOENÇA, FUNERAL, ALIMENTAÇÃO, TRANSPORTE E FARDAMENTO";"07 - RECURSOS RECEBIDOS PARA AUXÍLIOS DOENÇA, FUNERAL, ALIMENTAÇÃO, TRANSPORTE E FARDAMENTO";"NÃO";" "
"08";"RECURSOS RECEBIDOS PARA EMENDAS PARLAMENTARES";"08 - RECURSOS RECEBIDOS PARA EMENDAS PARLAMENTARES";"NÃO";" "
"09";"RECURSOS RECEBIDOS PARA PRECATÓRIOS E SENTENÇAS JUDICIAIS";"09 - RECURSOS RECEBIDOS PARA PRECATÓRIOS E SENTENÇAS JUDICIAIS";"NÃO";" "
"09";"RECURSOS RECEBIDOS PARA PRECATÓRIOS E SENTENÇAS JUDICIAIS";"09 - RECURSOS RECEBIDOS PARA PRECATÓRIOS E SENTENÇAS JUDICIAIS";"SIM";"1"
"10";"RECURSOS DECORRENTES DA DESVINCULAÇÃO DE RECEITAS CONFORME A EC 93/2016";"10 - RECURSOS DECORRENTES DA DESVINCULAÇÃO DE RECEITAS CONFORME A EC 93/2016";"NÃO";" "
"12";"TESTE DE CRIAÇÃO. ";"12 - TESTE DE CRIAÇÃO. ";"SIM";"1/7"
" -3";"N/A";" -3 - N/A";"N/A";"N/A"

