UnidadeAdm - Código;Situação UnidadeAdm;UnidadeAdm - Nome;UnidadeAdm - Sigla
N/A;N/A;N/A;N/A
172000001;ATIVO;GABINETE;GAB
172000002;ATIVO;COORDENADORIA ESPECIAL DA CONSULTORIA;CEC
172000003;ATIVO;NÚCLEO DE CONSULTORIA TÉCNICO-LEGISLATIVA;NCTL
172000004;ATIVO;NÚCLEO DE PROCESSOS ADMINISTRATIVOS ESPECIAIS;NPAE
172000005;ATIVO;DIRETORIA DE APOIO E REVISÃO;DAR
172000006;ATIVO;DIRETORIA DE PESQUISA LEGISLATIVA E CONSULTA PÚBLICA;DPLCP
172000007;ATIVO;DIRETORIA DE ATOS LEGISLATIVOS E REGULAMENTARES;DALR
1001000001;ATIVO;GABINETE;GAB
1001000002;ATIVO;ASSESSORIA;ASSE
1001000003;ATIVO;PROCON ALMG ESPAÇO CIDADANIA;ALMG
1001080001;ATIVO;ASSEMBLEIA LEGISLATIVA MG                                                                                                                             ;ALMG1001080001
1001080002;ATIVO;ASSEMBLEIA LEGISLATIVA MG                                                                                                                             ;ALMG1001080002
1001080003;ATIVO;ALMG-FUNDHAB                                                                                                                                          ;ALMG1001080003
1001090001;ATIVO;GMP GERENCIA DE COMPRAS;ALMG1001090001ZZ
1001090002;ATIVO;GMP GERENCIA DE COMPRAS II;ALMG1001090002ZZ
1002000001;ATIVO;GABINETE;GABZZ
1002000002;ATIVO;DIRETORIA DE FINANÇAS;DF
1002080001;ATIVO;TRIBUNAL DE CONTAS                                                                                                                                    ;TCEMG1002080001
1002080002;ATIVO;TRIBUNAL CONTAS-CONTROLE                                                                                                                              ;TCEMG1002080002
1002080003;ATIVO;PROMOEX (INATIVA EM 2014)                                                                                                                             ;TCEMG1002080003
1002080004;ATIVO;SUPERINT CONTROLE EXTERNO                                                                                                                             ;TCEMG1002080004
1002080005;ATIVO;DIRET.ADMINISTRACAO                                                                                                                                   ;TCEMG1002080005
1002080006;ATIVO;COORD MANUTENCAO E OBRAS                                                                                                                              ;TCEMG1002080006
1002080007;ATIVO;COORD.AQUIS.BENS E SERV.                                                                                                                              ;TCEMG1002080007
1002080008;ATIVO;COORD SERVICOS GERAIS                                                                                                                                 ;TCEMG1002080008
1002080009;ATIVO;DIR.DE SEGURANCA INSTITUC                                                                                                                             ;TCEMG1002080009
1002080011;ATIVO;DIR TECNOLOGIA INFORMACAO                                                                                                                             ;TCEMG1002080011
1002080012;ATIVO;DIRETORIA DE COMUNICACAO                                                                                                                              ;TCEMG1002080012
1002080013;ATIVO;DCEM (INATIVA EM 2014)                                                                                                                                ;TCEMG1002080013
