
"Relatório 1"

"UnidadeOrçam - Código";"UnidadeOrçam - Nome";"UnidadeOrçam - Código-Nome";"UnidadeOrçam - Sigla";"Classificação Jurídica Orçam - Código";"Classificação Jurídica Orçam - Descrição";"Tipo Administração Orçam"
"10011";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"10011 - ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"ALMG";"N/A";"N/A";"N/A"
"10011";"ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"10011 - ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"ALMG";"1";"SECRETARIA";"DIREITA"
"10011";"ASSEMBLÉIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"10011 - ASSEMBLÉIA LEGISLATIVA DO ESTADO DE MINAS GERAIS";"ALMG";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"10021";"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"10021 - TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"TCEMG";"N/A";"N/A";"N/A"
"10021";"TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"10021 - TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS";"TCEMG";"3";"FUNDAÇÃO";"INDIRETA"
"10031";"TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"10031 - TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS";"TJMG";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"10031";"TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS";"10031 - TRIBUNAL DE JUSTIÇA DO ESTADO DE MINAS GERAIS";"TJMG";"1";"ÓRGÃO AUTÔNOMO";"DIREITA"
"10051";"TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"10051 - TRIBUNAL DE JUSTICA MILITAR DO ESTADO DE MINAS GERAIS";"TJMMG";"1";"SECRETARIA";"DIREITA"
"10051";"TRIBUNAL DE JUSTIÇA MILITAR DO ESTADO DE MINAS GERAIS";"10051 - TRIBUNAL DE JUSTIÇA MILITAR DO ESTADO DE MINAS GERAIS";"TJMMG";"1";"SECRETARIA";"DIREITA"
"10071";"GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"10071 - GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS";"GABINETEMILITAR";"N/A";"N/A";"N/A"
