FuncionalProgramática - Código;AnoExercício FuncionalProgramática;Situação FuncionalProgramática;FuncionalProgramática - Formatado;Função - Código;AnoExercício Função;Situação Função;Função - Descrição;Subfunção - Código;AnoExercício Subfunção;Situação Subfunção;Subfunção - Descrição;Programa - Código;AnoExercício Programa;Situação Programa;Programa - Descrição;Identificador ProjetoAtividade - Código;AnoExercício Identificador ProjetoAtividade;Situação Identificador ProjetoAtividade;Identificador ProjetoAtividade - Descrição;ProjetoAtividade - Código;AnoExercício ProjetoAtividade;Situação ProjetoAtividade;ProjetoAtividade - Descrição;SubprojetoSubatividade - Código;IAG - Código;AnoExercício IAG;Situação IAG;IAG - Descrição;IAG - Código-Descrição
1,03173E+15;#MULTIVALUE;ATIVO;1.031.729.402.390.000;1;#MULTIVALUE;ATIVO;LEGISLATIVA;31;#MULTIVALUE;ATIVO;AÇÃO LEGISLATIVA;729;#MULTIVALUE;ATIVO;PROCESSO LEGISLATIVO;4;#MULTIVALUE;ATIVO;ATIVIDADE FIM DO ORÇAMENTO FISCAL;239;#MULTIVALUE;ATIVO;ELABORAÇÃO LEGISLATIVA E ACOMPANHAMENTO DAS POLÍTICAS PÚBLICAS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
1,0327E+15;2019;ATIVO;1.032.701.201.570.000;1;2019;ATIVO;LEGISLATIVA;32;2019;ATIVO;CONTROLE EXTERNO;701;2019;ATIVO;APOIO À ADMINISTRAÇÃO PÚBLICA;2;2019;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;157;2019;ATIVO;AUXÍLIOS ALIMENTAÇÃO, CRECHE, MORADIA, SAÚDE E OUTROS AUXÍLIOS;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
1,03271E+15;#MULTIVALUE;ATIVO;1.032.705.201.570.000;1;#MULTIVALUE;ATIVO;LEGISLATIVA;32;#MULTIVALUE;ATIVO;CONTROLE EXTERNO;705;#MULTIVALUE;ATIVO;APOIO ÀS POLÍTICAS PÚBLICAS;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;157;#MULTIVALUE;ATIVO;AUXÍLIOS ALIMENTAÇÃO, CRECHE, MORADIA, SAÚDE E OUTROS AUXÍLIOS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
1,03275E+15;#MULTIVALUE;ATIVO;1.032.746.404.450.000;1;#MULTIVALUE;ATIVO;LEGISLATIVA;32;#MULTIVALUE;ATIVO;CONTROLE EXTERNO;746;#MULTIVALUE;ATIVO;CONTROLE EXTERNO DA GESTÃO DOS RECURSOS PÚBLICOS;4;#MULTIVALUE;ATIVO;ATIVIDADE FIM DO ORÇAMENTO FISCAL;445;#MULTIVALUE;ATIVO;FISCALIZAÇÃO DA GESTÃO  DE RECURSOS PÚBLICOS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
1,1227E+15;2019;ATIVO;1.122.701.200.090.000;1;2019;ATIVO;LEGISLATIVA;122;2019;ATIVO;ADMINISTRAÇÃO GERAL;701;2019;ATIVO;APOIO À ADMINISTRAÇÃO PÚBLICA;2;2019;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;9;2019;ATIVO;REFORMAS DE SUBESTAÇÕES E LINHAS DE TRANSMISSÃO;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
1,1227E+15;2019;ATIVO;1.122.701.201.210.000;1;2019;ATIVO;LEGISLATIVA;122;2019;ATIVO;ADMINISTRAÇÃO GERAL;701;2019;ATIVO;APOIO À ADMINISTRAÇÃO PÚBLICA;2;2019;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;121;2019;ATIVO;MODERNIZAÇÃO DA INFRAESTRUTURA FÍSICA E TECNOLÓGICA PARA O APERFEIÇOAMENTO DAS AÇÕES FISCALIZATÓRIAS;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
1,1227E+15;#MULTIVALUE;ATIVO;1.122.704.200.560.000;1;#MULTIVALUE;ATIVO;LEGISLATIVA;122;#MULTIVALUE;ATIVO;ADMINISTRAÇÃO GERAL;704;#MULTIVALUE;ATIVO;MODERNIZAÇÃO INSTITUCIONAL;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;56;#MULTIVALUE;ATIVO;REAPARELHAMENTO E APERFEIÇOAMENTO INSTITUCIONAL;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
1,12271E+15;#MULTIVALUE;ATIVO;1.122.705.200.090.000;1;#MULTIVALUE;ATIVO;LEGISLATIVA;122;#MULTIVALUE;ATIVO;ADMINISTRAÇÃO GERAL;705;#MULTIVALUE;ATIVO;APOIO ÀS POLÍTICAS PÚBLICAS;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;9;#MULTIVALUE;ATIVO;DIREÇÃO ADMINISTRATIVA;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
1,12271E+15;#MULTIVALUE;ATIVO;1.122.705.201.210.000;1;#MULTIVALUE;ATIVO;LEGISLATIVA;122;#MULTIVALUE;ATIVO;ADMINISTRAÇÃO GERAL;705;#MULTIVALUE;ATIVO;APOIO ÀS POLÍTICAS PÚBLICAS;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;121;#MULTIVALUE;ATIVO;MODERNIZAÇÃO DA INFRAESTRUTURA FÍSICA E TECNOLÓGICA PARA O APERFEIÇOAMENTO DAS AÇÕES FISCALIZATÓRIAS;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
1,12876E+15;2019;ATIVO;1.128.760.201.450.000;1;2019;ATIVO;LEGISLATIVA;128;2019;ATIVO;FORMAÇÃO DE RECURSOS HUMANOS;760;2019;ATIVO;CAPACITAÇÃO E ORIENTAÇÃO NA GESTÃO DOS RECURSOS PÚBLICOS;2;2019;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;145;2019;ATIVO;CAPACITAÇÃO DE SERVIDORES DO TCE, ENTES JURISDICIONADOS E REPRESENTANTES DE ENTIDADES DA SOCIEDADE;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
1,12876E+15;#MULTIVALUE;ATIVO;1.128.760.201.450.000;1;#MULTIVALUE;ATIVO;LEGISLATIVA;128;#MULTIVALUE;ATIVO;FORMAÇÃO DE RECURSOS HUMANOS;760;#MULTIVALUE;ATIVO;CAPACITAÇÃO E ORIENTAÇÃO PARA MELHORAR A GESTÃO DOS RECURSOS PÚBLICOS;2;#MULTIVALUE;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;145;#MULTIVALUE;ATIVO;CAPACITAÇÃO DE SERVIDORES E MEMBROS DO TCE, GESTORES E SERVIDORES PÚBLICOS DAS ENTIDADES JURISDICIONADAS E REPRESENTANTES DE ENTIDADES DA SOCIEDADE;1;0;#MULTIVALUE;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
2,0617E+15;2019;ATIVO;2.061.701.201.190.000;2;2019;ATIVO;JUDICIÁRIA;61;2019;ATIVO;AÇÃO JUDICIÁRIA;701;2019;ATIVO;APOIO À ADMINISTRAÇÃO PÚBLICA;2;2019;ATIVO;ATIVIDADE MEIO DO ORÇAMENTO FISCAL - GRP;119;2019;ATIVO;AUXÍLIOS CONCEDIDOS A MAGISTRADOS E SERVIDORES;1;0;2019;ATIVO;AÇÃO DE ACOMPANHAMENTO GERAL;0 - AÇÃO DE ACOMPANHAMENTO GERAL
