NaturezaElemento - Código;AnoExercício NaturezaElemento;Situação NaturezaElemento;NaturezaElemento - Formatado;CategoriaEconômica - Código;AnoExercício CategoriaEconômica;Situação CategoriaEconômica;CategoriaEconômica - Descrição;CategoriaEconômica - Detalhe;GrupoDespesa - Código;AnoExercício GrupoDespesa;Situação GrupoDespesa;GrupoDespesa - Descrição;GrupoDespesa - Código-Descrição;GrupoDespesa - Detalhe;Modalidade - Código;AnoExercício Modalidade;Situação Modalidade;Modalidade - Descrição;Modalidade - Detalhe;ElementoDespesa - Código;AnoExercício ElementoDespesa;Situação ElementoDespesa;ElementoDespesa - Descrição;ElementoDespesa - Código-Descrição;ElementoDespesa - Detalhe;ElementoDespesa - Característica;ElementoDespesa - Regionalização;ElementoDespesa Executável S/N;ElementoItem - Código;AnoExercício ElementoItem;Situação ElementoItem;ElementoItem - Descrição;ElementoItem - Código-Descrição;NaturezaItem - Código;AnoExercício NaturezaItem;Situação NaturezaItem;NaturezaItem - Formatado
3190001;2020;BLOQUEADO;3.1.90.001;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;1;2020;ATIVO;APOSENTADORIAS DO RPPS, RESERVA REMUNERADA E REFORMAS DOS MILITARES ;001 - APOSENTADORIAS DO RPPS, RESERVA REMUNERADA E REFORMAS DOS MILITARES ;ELEMENTO DE DESPESA VIGENTES, CONFORME DETERMINAÇÃO DA PORTARIA INTERMINISTERIAL Nº 163, DE 4 DE MAIO DE 2001. ; ;NÃO;SIM;1001;2020;ATIVO;PROVENTOS DE APOSENTADOS;001001 - PROVENTOS DE APOSENTADOS;-3;N/A;N/A;N/A
3190001;2020;BLOQUEADO;3.1.90.001;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;1;2020;ATIVO;APOSENTADORIAS DO RPPS, RESERVA REMUNERADA E REFORMAS DOS MILITARES ;001 - APOSENTADORIAS DO RPPS, RESERVA REMUNERADA E REFORMAS DOS MILITARES ;ELEMENTO DE DESPESA VIGENTES, CONFORME DETERMINAÇÃO DA PORTARIA INTERMINISTERIAL Nº 163, DE 4 DE MAIO DE 2001. ; ;NÃO;SIM;1003;2020;ATIVO;PROVENTOS DE MILITARES INATIVOS;001003 - PROVENTOS DE MILITARES INATIVOS;3190001001;#MULTIVALUE;#MULTIVALUE;3.1.90.001.001
3190003;2020;ATIVO;3.1.90.003;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;3;2020;ATIVO;PENSÕES DO RPPS E DO MILITAR ;003 - PENSÕES DO RPPS E DO MILITAR ;CARGA; ;NÃO;SIM;3007;2020;ATIVO;PENSÕES CIVIS DO RPPS;003007 - PENSÕES CIVIS DO RPPS;3190001003;#MULTIVALUE;#MULTIVALUE;3.1.90.001.003
3190008;2021;ATIVO;3.1.90.008;3;2021;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2021;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2021;ATIVO;APLICAÇÕES DIRETAS;N/A;8;2021;ATIVO;OUTROS BENEFÍCIOS ASSISTENCIAIS DO SERVIDOR E DO MILITAR ;008 - OUTROS BENEFÍCIOS ASSISTENCIAIS DO SERVIDOR E DO MILITAR ;.; ;NÃO;SIM;8010;2021;ATIVO;SALÁRIO-FAMÍLIA;008010 - SALÁRIO-FAMÍLIA;3190001005;#MULTIVALUE;#MULTIVALUE;3.1.90.001.005
3190011;2020;ATIVO;3.1.90.011;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;11;2020;ATIVO;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;011 - VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;ATUALIZAÇÃO DA DESCRIÇÃO. ; ;NÃO;SIM;11001;2020;ATIVO;VENCIMENTOS;011001 - VENCIMENTOS;3190001008;#MULTIVALUE;#MULTIVALUE;3.1.90.001.008
3190011;2020;ATIVO;3.1.90.011;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;11;2020;ATIVO;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;011 - VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;ATUALIZAÇÃO DA DESCRIÇÃO. ; ;NÃO;SIM;11019;2020;ATIVO;VANTAGEM PESSOAL;011019 - VANTAGEM PESSOAL;3190003007;#MULTIVALUE;ATIVO;3.1.90.003.007
3190011;2020;ATIVO;3.1.90.011;3;2020;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2020;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2020;ATIVO;APLICAÇÕES DIRETAS;N/A;11;2020;ATIVO;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;011 - VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;ATUALIZAÇÃO DA DESCRIÇÃO. ; ;NÃO;SIM;11044;2020;ATIVO;ABONO DE PERMANÊNCIA;011044 - ABONO DE PERMANÊNCIA;3190003008;#MULTIVALUE;ATIVO;3.1.90.003.008
3190011;2021;ATIVO;3.1.90.011;3;2021;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;2021;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;2021;ATIVO;APLICAÇÕES DIRETAS;N/A;11;2021;ATIVO;VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;011 - VENCIMENTOS E VANTAGENS FIXAS-PESSOAL CIVIL;ATUALIZAÇÃO DA DESCRIÇÃO.; ;NÃO;SIM;11001;2021;ATIVO;VENCIMENTOS;011001 - VENCIMENTOS;3190004001;#MULTIVALUE;ATIVO;3.1.90.004.001
3190059;#MULTIVALUE;ATIVO;3.1.90.059;3;#MULTIVALUE;ATIVO;DESPESAS CORRENTES;TESTE EDIÇÃO - IMPACTO 2021. ;1;#MULTIVALUE;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;ADEQUAÇÃO DA REDAÇÃO. ;90;#MULTIVALUE;ATIVO;APLICAÇÕES DIRETAS;N/A;59;#MULTIVALUE;ATIVO;PENSÕES ESPECIAIS ;059 - PENSÕES ESPECIAIS ;CARGA; ;NÃO;SIM;59007;#MULTIVALUE;ATIVO;PENSÃO ESPECIAL PARA AGENTES POLÍTICOS, SERVIDORES PÚBLICOS E ESTATAIS;059007 - PENSÃO ESPECIAL PARA AGENTES POLÍTICOS, SERVIDORES PÚBLICOS E ESTATAIS;3190004003;#MULTIVALUE;ATIVO;3.1.90.004.003
3190091;2019;ATIVO;3.1.90.091;3;2019;ATIVO;DESPESAS CORRENTES;DESPESAS CORRENTES;1;2019;ATIVO;PESSOAL E ENCARGOS SOCIAIS;1 - PESSOAL E ENCARGOS SOCIAIS;DESLOQUEIO DA CATEGORIA ECONÔMICA;90;2019;ATIVO;APLICAÇÕES DIRETAS;N/A;91;2019;ATIVO;SENTENÇAS JUDICIAIS;091 - SENTENÇAS JUDICIAIS;ELEMENTO CRIADO PARA TESTAR O CENÁRIO DE TESTE ELABORADO PELA EQUIPE DE REQUISITOS.; ;NÃO;SIM;91002;2019;ATIVO;PRECATÓRIOS - PESSOAL;091002 - PRECATÓRIOS - PESSOAL;3190004004;#MULTIVALUE;ATIVO;3.1.90.004.004
